shape,cast_count,rows,native_debug,rep0_seconds,rep1_seconds,rep2_seconds,median_seconds,median_plan_seconds,median_execute_seconds,sql_bytes,cast_in_sql,execute_kind
standalone,50,200000,true,2.102285,2.119835,2.121824,2.119835,0.094251,2.027572,1749,50,explain_analyze
standalone,250,200000,true,10.613065,10.543576,10.208095,10.543576,0.385492,10.165212,9049,250,explain_analyze
standalone,2500,200000,true,103.244863,103.409910,103.488710,103.409910,3.957637,99.287226,95299,2500,explain_analyze
over_aggregate,50,200000,true,1.144767,0.951810,0.975972,0.975972,0.100889,0.876241,1899,50,explain_analyze
over_aggregate,250,200000,true,5.768731,5.626705,5.617322,5.626705,0.773258,4.845232,9799,250,explain_analyze
over_aggregate,2500,200000,true,175.674565,175.878220,176.340986,175.878220,38.968968,136.947043,102799,2500,explain_analyze
projection_over_aggregate,50,200000,true,0.430164,0.372374,0.302206,0.372374,0.095793,0.276581,1930,50,explain_analyze
projection_over_aggregate,250,200000,true,1.364986,1.357043,1.353521,1.357043,0.356574,1.000619,9830,250,explain_analyze
projection_over_aggregate,2500,200000,true,13.931722,13.819258,13.732724,13.819258,3.623100,10.181397,102830,2500,explain_analyze
