dataset,query,knob,value,repetition,seconds
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.031421
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.061254
futures,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.025213
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.527322
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.547683
tpch,group_by,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.538314
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,false,1,1.067040
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,false,2,1.064015
tpch,hash_join,datafusion.execution.parquet.bloom_filter_on_write,false,3,1.113339
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,false,1,5.986897
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,false,2,5.687509
tpch,sort_merge_join,datafusion.execution.parquet.bloom_filter_on_write,false,3,5.399273
futures,window,datafusion.execution.parquet.bloom_filter_on_write,false,1,1.126602
futures,window,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.659027
futures,window,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.659319
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.789736
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.825973
iceberg,append_files,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.793539
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.166455
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.168918
iceberg,overwrite_partition,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.173661
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,false,1,0.599585
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,false,2,0.624881
iceberg,merge_updates,datafusion.execution.parquet.bloom_filter_on_write,false,3,0.611371
