dataset,query,knob,value,repetition,seconds
tpch,hash_join,datafusion.optimizer.repartition_aggregations,false,3,6.159944
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,false,1,5.111247
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,false,2,5.675120
tpch,sort_merge_join,datafusion.optimizer.repartition_aggregations,false,3,5.609971
futures,window,datafusion.optimizer.repartition_aggregations,false,1,0.958814
futures,window,datafusion.optimizer.repartition_aggregations,false,2,0.662339
futures,window,datafusion.optimizer.repartition_aggregations,false,3,0.667359
iceberg,append_files,datafusion.optimizer.repartition_aggregations,false,1,0.805676
iceberg,append_files,datafusion.optimizer.repartition_aggregations,false,2,0.806891
iceberg,append_files,datafusion.optimizer.repartition_aggregations,false,3,0.789818
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,false,1,0.172568
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,false,2,0.216758
iceberg,overwrite_partition,datafusion.optimizer.repartition_aggregations,false,3,0.171686
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,false,1,0.616160
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,false,2,0.623029
iceberg,merge_updates,datafusion.optimizer.repartition_aggregations,false,3,0.640963
