dataset,query,knob,value,repetition,seconds
tpch,group_by,datafusion.execution.parquet.max_row_group_size,2097152,2,0.527583
tpch,group_by,datafusion.execution.parquet.max_row_group_size,2097152,3,0.554565
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,2097152,1,1.032606
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,2097152,2,1.080497
tpch,hash_join,datafusion.execution.parquet.max_row_group_size,2097152,3,1.136149
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,2097152,1,5.896558
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,2097152,2,5.762077
tpch,sort_merge_join,datafusion.execution.parquet.max_row_group_size,2097152,3,5.587632
futures,window,datafusion.execution.parquet.max_row_group_size,2097152,1,1.180461
futures,window,datafusion.execution.parquet.max_row_group_size,2097152,2,0.667481
futures,window,datafusion.execution.parquet.max_row_group_size,2097152,3,0.635312
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,2097152,1,0.788870
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,2097152,2,0.857539
iceberg,append_files,datafusion.execution.parquet.max_row_group_size,2097152,3,0.795189
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,2097152,1,0.168182
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,2097152,2,0.174859
iceberg,overwrite_partition,datafusion.execution.parquet.max_row_group_size,2097152,3,0.171041
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,2097152,1,0.607730
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,2097152,2,0.610855
iceberg,merge_updates,datafusion.execution.parquet.max_row_group_size,2097152,3,0.573544
