dataset,query,knob,value,repetition,seconds
tpch,hash_join,datafusion.optimizer.repartition_file_scans,false,3,3.115463
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,false,1,7.872052
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,false,2,8.157824
tpch,sort_merge_join,datafusion.optimizer.repartition_file_scans,false,3,8.115739
futures,window,datafusion.optimizer.repartition_file_scans,false,1,0.753127
futures,window,datafusion.optimizer.repartition_file_scans,false,2,0.889515
futures,window,datafusion.optimizer.repartition_file_scans,false,3,0.693742
iceberg,append_files,datafusion.optimizer.repartition_file_scans,false,1,0.807980
iceberg,append_files,datafusion.optimizer.repartition_file_scans,false,2,0.784710
iceberg,append_files,datafusion.optimizer.repartition_file_scans,false,3,0.780335
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,false,1,0.240571
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,false,2,0.167069
iceberg,overwrite_partition,datafusion.optimizer.repartition_file_scans,false,3,0.174333
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,false,1,0.616870
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,false,2,0.584600
iceberg,merge_updates,datafusion.optimizer.repartition_file_scans,false,3,0.619567
