dataset,query,knob,value,repetition,seconds
tpch,hash_join,datafusion.execution.parquet.enable_page_index,false,3,1.125387
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,false,1,5.647890
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,false,2,5.722643
tpch,sort_merge_join,datafusion.execution.parquet.enable_page_index,false,3,5.705300
futures,window,datafusion.execution.parquet.enable_page_index,false,1,1.055215
futures,window,datafusion.execution.parquet.enable_page_index,false,2,0.646547
futures,window,datafusion.execution.parquet.enable_page_index,false,3,0.659041
iceberg,append_files,datafusion.execution.parquet.enable_page_index,false,1,0.783352
iceberg,append_files,datafusion.execution.parquet.enable_page_index,false,2,0.792244
iceberg,append_files,datafusion.execution.parquet.enable_page_index,false,3,0.789068
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,false,1,0.170595
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,false,2,0.169275
iceberg,overwrite_partition,datafusion.execution.parquet.enable_page_index,false,3,0.187989
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,false,1,0.600707
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,false,2,0.631523
iceberg,merge_updates,datafusion.execution.parquet.enable_page_index,false,3,0.611338
